finep,coarsep,k,θ,ρ
2,1,1,-0.020000000000000028,1.67738301875822
2,1,2,-0.020000000000000028,1.315972873231927
2,1,3,-0.020000000000000028,0.4331220090691563
2,1,4,1.28,0.021651177280333205
4,1,1,-0.020000000000000028,2.6397095871014136
4,1,2,-0.020000000000000028,1.721828967983959
4,1,3,-0.020000000000000028,0.5250163613196086
4,1,4,0.8400000000000001,0.030154324555155473
4,2,1,-0.020000000000000028,2.332425652837915
4,2,2,-0.020000000000000028,1.5512242023676222
4,2,3,-0.020000000000000028,0.4650528139150711
4,2,4,0.8600000000000002,0.029920685739388032
8,1,1,-0.020000000000000028,4.198649730121453
8,1,2,-0.020000000000000028,2.3239742456554247
8,1,3,-0.020000000000000028,0.655565030151224
8,1,4,0.1600000000000001,0.04393613605670382
8,2,1,-0.020000000000000028,4.158380608055067
8,2,2,-0.020000000000000028,2.3053438387700864
8,2,3,-0.020000000000000028,0.649988217275272
8,2,4,-0.13999999999999999,0.043280816540440206
8,4,1,-0.020000000000000028,4.0471662026031225
8,4,2,-0.020000000000000028,2.245293141687343
8,4,3,-0.020000000000000028,0.6305327781613679
8,4,4,-0.020000000000000028,0.04301149156535422
16,1,1,-0.020000000000000028,6.571776484571926
16,1,2,-0.020000000000000028,3.174651596844681
16,1,3,-0.020000000000000028,0.8329737285382408
16,1,4,0.9,0.06288936873334147
16,2,1,-0.020000000000000028,6.568997200421001
16,2,2,-0.020000000000000028,3.1735358792671686
16,2,3,-0.020000000000000028,0.832711287904063
16,2,4,1.08,0.06288810517514626
16,4,1,-0.020000000000000028,6.562118425698289
16,4,2,-0.020000000000000028,3.170538532176797
16,4,3,-0.020000000000000028,0.8318825542955878
16,4,4,1.0,0.06286337953175421
16,8,1,-0.020000000000000028,6.53671359743874
16,8,2,-0.020000000000000028,3.1577067825193668
16,8,3,-0.020000000000000028,0.8281061266528812
16,8,4,1.0,0.0628633795317543
